year,week,playoff_type,away_team,home_team,away_score,home_score,margin,above_200,matchup_winner,matchup_loser
2017,12,N/A,Bmas,Jim,147.2,120.2,27,NO,Bmas,Jim
2017,12,N/A,Kyle,Bryan,111.9,106,5.9,NO,Kyle,Bryan
2017,P1,4v1,Jar,Erik,287.9,274,13.9,YES,Jar,Erik
2017,P1,3v2,Bmas,Steve,241.9,246.6,4.7,YES,Steve,Bmas
2017,P1,6v5,Bryan,Kyle,246.3,288.5,42.2,YES,Kyle,Bryan
2017,P1,8v7,Dickie,Kuch,217,217.3,0.3,YES,Kuch,Dickie
2017,P1,10v9,Jay,Jim,248.5,243.6,4.9,YES,Jay,Jim
2017,P2,Championship,Jar,Steve,236,293.4,57.4,YES,Steve,Jar
2017,P2,Third Place,Bmas,Erik,314.4,256.1,58.3,YES,Bmas,Erik
2017,P2,C,Kyle,Kuch,227.1,218.3,8.8,YES,Kyle,Kuch
2017,P2,C,Jay,Dickie,211.1,216.2,5.1,YES,Dickie,Jay
2017,P2,C,Jim,Bryan,231.1,232.9,1.8,YES,Bryan,Jim
2018,1,N/A,Bmas,Steve,84.4,178,93.6,NO,Steve,Bmas
2018,1,N/A,Erik,Jay,161.7,137.1,24.6,NO,Erik,Jay
2018,1,N/A,Dickie,Jar,142,124.4,17.6,NO,Dickie,Jar
2018,1,N/A,Bryan,Jim,125.7,140.1,14.4,NO,Jim,Bryan
2018,1,N/A,Kuch,Kyle,142,143.9,1.9,NO,Kyle,Kuch
2018,2,N/A,Dickie,Kuch,117.1,149.4,32.3,NO,Kuch,Dickie
2018,2,N/A,Bmas,Bryan,154.1,132.8,21.3,NO,Bmas,Bryan
2018,2,N/A,Jar,Erik,130.9,143.1,12.2,NO,Erik,Jar
2018,2,N/A,Steve,Kyle,157.3,150.1,7.2,NO,Steve,Kyle
2018,2,N/A,Jim,Jay,143.3,146.3,3,NO,Jay,Jim
2018,3,N/A,Kuch,Erik,103,145.3,42.3,NO,Erik,Kuch
2018,3,N/A,Kyle,Bmas,164.8,131.9,32.9,NO,Kyle,Bmas
2018,3,N/A,Jay,Bryan,122.2,151.4,29.2,NO,Bryan,Jay
2018,3,N/A,Jim,Jar,122.1,143.9,21.8,NO,Jar,Jim
2018,3,N/A,Steve,Dickie,137.3,123,14.3,NO,Steve,Dickie
2018,4,N/A,Erik,Jim,231.4,126.5,104.9,YES,Erik,Jim
2018,4,N/A,Bryan,Jar,190.5,113.8,76.7,NO,Bryan,Jar
2018,4,N/A,Bmas,Dickie,138.3,76.9,61.4,NO,Bmas,Dickie
2018,4,N/A,Kyle,Jay,141.9,197.7,55.8,NO,Jay,Kyle
2018,4,N/A,Kuch,Steve,162.1,132.8,29.3,NO,Kuch,Steve
2018,5,N/A,Dickie,Kyle,88.5,130.3,41.8,NO,Kyle,Dickie
2018,5,N/A,Bmas,Kuch,141.7,155.6,13.9,NO,Kuch,Bmas
2018,5,N/A,Jar,Jay,134.3,140.8,6.5,NO,Jay,Jar
2018,5,N/A,Steve,Jim,117.6,123.3,5.7,NO,Jim,Steve
2018,5,N/A,Bryan,Erik,153.3,158.4,5.1,NO,Erik,Bryan
2018,6,N/A,Erik,Bmas,162.8,120.3,42.5,NO,Erik,Bmas
2018,6,N/A,Jim,Kyle,155.2,117.8,37.4,NO,Jim,Kyle
2018,6,N/A,Bryan,Dickie,181.2,146.7,34.5,NO,Bryan,Dickie
2018,6,N/A,Jay,Kuch,152.4,130.9,21.5,NO,Jay,Kuch
2018,6,N/A,Jar,Steve,114.8,117.6,2.8,NO,Steve,Jar
2018,7,N/A,Kuch,Jim,151.9,112.7,39.2,NO,Kuch,Jim
2018,7,N/A,Dickie,Erik,106.3,140.2,33.9,NO,Erik,Dickie
2018,7,N/A,Steve,Bryan,175.5,145.8,29.7,NO,Steve,Bryan
2018,7,N/A,Bmas,Jay,131.1,154.8,23.7,NO,Jay,Bmas
2018,7,N/A,Kyle,Jar,105.7,115.5,9.8,NO,Jar,Kyle
2018,8,N/A,Jar,Kuch,97.7,200.2,102.5,YES,Kuch,Jar
2018,8,N/A,Jay,Dickie,171,87.5,83.5,NO,Jay,Dickie
2018,8,N/A,Erik,Steve,179.7,135.8,43.9,NO,Erik,Steve
2018,8,N/A,Jim,Bmas,127.6,151.3,23.7,NO,Bmas,Jim
2018,8,N/A,Bryan,Kyle,133,129.6,3.4,NO,Bryan,Kyle
2018,9,N/A,Jar,Dickie,166.2,72.3,93.9,NO,Jar,Dickie
2018,9,N/A,Bryan,Bmas,103.2,155.4,52.2,NO,Bmas,Bryan
2018,9,N/A,Jay,Kyle,170.8,184.7,13.9,NO,Kyle,Jay
2018,9,N/A,Jim,Steve,141.2,128.8,12.4,NO,Jim,Steve
2018,9,N/A,Erik,Kuch,133.9,131.8,2.1,NO,Erik,Kuch
2018,10,N/A,Bmas,Erik,127.4,216,88.6,YES,Erik,Bmas
2018,10,N/A,Kuch,Jay,151.8,125.2,26.6,NO,Kuch,Jay
2018,10,N/A,Dickie,Bryan,132.3,118.3,14,NO,Dickie,Bryan
2018,10,N/A,Kyle,Jim,166.7,157.5,9.2,NO,Kyle,Jim
2018,10,N/A,Steve,Jar,125,122.3,2.7,NO,Steve,Jar
2018,11,N/A,Erik,Dickie,162.5,120.6,41.9,NO,Erik,Dickie
2018,11,N/A,Jim,Kuch,125.3,162.5,37.2,NO,Kuch,Jim
2018,11,N/A,Bryan,Steve,162.9,189.3,26.4,NO,Steve,Bryan
2018,11,N/A,Jar,Kyle,136.3,126.8,9.5,NO,Jar,Kyle
2018,11,N/A,Jay,Bmas,119.2,120.1,0.9,NO,Bmas,Jay
2018,12,N/A,Steve,Erik,105.6,151.3,45.7,NO,Erik,Steve
2018,12,N/A,Dickie,Jay,122.6,150,27.4,NO,Jay,Dickie
2018,12,N/A,Kuch,Jar,149.2,124,25.2,NO,Kuch,Jar
2018,12,N/A,Kyle,Bryan,161.6,141.2,20.4,NO,Kyle,Bryan
2018,12,N/A,Bmas,Jim,147.7,135.6,12.1,NO,Bmas,Jim
2018,P1,4v1,Steve,Erik,279.6,272,7.6,YES,Steve,Erik
